,1,2,3,4,5,6,7,8,9,10,11,12
1,78.9,76.5,75.6,76.2,74.6,73.4,71.0,70.1,70.0,70.1,68.4,67.5
2,78.9,76.6,75.5,75.8,74.5,74.0,71.3,70.4,,70.5,68.4,67.5
3,78.5,76.4,76.1,74.9,,73.7,71.4,70.6,,69.8,68.4,67.5
4,78.2,76.9,76.0,74.6,,73.1,71.0,70.4,,69.6,68.9,67.9
5,78.0,75.7,75.6,75.0,73.9,72.5,70.7,71.1,,69.7,68.7,67.3
6,77.1,76.3,75.7,74.8,73.6,72.5,71.4,72.0,,70.5,68.0,67.0
7,78.2,76.2,75.0,75.3,73.5,73.1,71.1,71.4,,71.3,67.6,67.3
8,77.6,76.0,75.2,75.8,73.7,72.2,70.9,70.6,,70.2,67.6,67.6
9,77.5,75.8,75.0,74.7,74.0,72.7,70.1,70.2,70.1,70.0,67.6,67.6
10,77.5,76.2,76.2,74.6,73.9,73.0,70.1,70.1,70.3,70.1,67.6,67.6
11,77.7,76.0,,74.5,74.0,72.1,69.9,70.8,70.0,70.0,67.9,67.6
12,77.5,75.4,,74.1,74.0,72.3,70.3,71.2,69.9,70.1,67.6,67.3
13,78.5,76.0,,73.8,74.8,71.6,70.1,70.7,70.2,70.4,67.6,67.3
14,78.6,75.6,,75.0,74.2,71.8,70.4,70.7,70.3,,67.5,67.3
15,77.7,75.7,75.8,75.4,74.1,71.8,70.8,70.9,71.1,,67.2,67.8
16,77.4,76.6,75.0,74.8,73.8,72.5,70.3,70.7,70.7,,67.2,67.8
17,76.9,76.6,75.8,74.2,73.3,72.5,70.2,70.5,70.0,,68.0,67.1
18,77.7,76.4,75.0,74.0,73.8,71.8,70.4,71.1,69.8,69.0,67.8,67.1
19,77.3,75.3,75.3,73.8,73.7,71.5,70.2,72.0,70.2,68.8,67.8,67.6
20,76.8,75.4,75.2,74.0,73.1,71.4,70.4,70.7,70.0,69.5,68.2,67.6
21,76.8,76.1,74.6,75.8,73.1,71.8,71.1,70.7,69.9,70.3,67.4,67.6
22,76.5,76.2,74.7,74.0,73.5,71.5,70.9,70.3,71.3,70.3,67.2,67.6
23,76.4,75.6,74.6,74.3,72.9,72.0,70.5,70.6,71.2,69.3,67.2,67.9
24,75.8,75.7,75.5,73.5,72.9,72.0,70.3,70.4,70.6,68.7,68.2,68.0
25,75.9,75.8,76.3,74.6,73.0,71.4,69.9,70.2,70.5,68.7,67.8,68.6
26,76.7,75.3,74.6,74.7,74.2,71.1,70.8,71.2,70.6,68.7,68.1,69.1
27,77.6,75.6,74.3,76.0,73.5,70.9,70.8,70.7,70.5,68.7,67.1,68.7
28,77.4,75.4,74.2,75.8,72.8,71.4,70.8,70.1,70.3,69.3,66.7,68.0
29,76.4,,74.3,75.7,72.6,71.4,70.8,69.9,70.9,69.3,66.7,68.7
30,76.0,,74.3,75.2,72.6,71.0,70.2,69.9,71.1,69.3,67.5,68.7
31,76.4,,76.2,,72.7,,70.0,69.7,,68.9,,68.8
